NAME                                         DISPLAY NAME                                               DEFAULT CHANNEL
aci-containers-operator                      Cisco ACI Containers Operator                              stable
aikit-operator                               Intel® oneAPI AI Analytics Toolkit Operator                alpha
ako-operator                                 AKO Operator                                               stable
anchore-engine                               Anchore Engine Operator                                    alpha
anzo-operator                                Anzo Operator                                              stable
anzograph-operator                           AnzoGraph Operator                                         stable
anzounstructured-operator                    Anzo Unstructured Operator                                 stable
cass-operator                                DataStax Kubernetes Operator for Apache Cassandra          stable
ccm-node-agent-dcap-operator                 CCM Node Agent DCAP Operator                               alpha
ccm-node-agent-operator                      CCM Node Agent Operator                                    alpha
cilium                                       Cilium                                                     1.12
cilium-enterprise                            Cilium Enterprise                                          1.11
cisco-hxcsi-operator                         Cisco Hyperflex CSI Operator                               stable
citrix-adc-istio-ingress-gateway-operator    Citrix ADC Istio Ingress Gateway Operator                  alpha
citrix-cpx-istio-sidecar-injector-operator   Citrix ADC CPX Istio Sidecar Injector Operator             alpha
citrix-cpx-with-ingress-controller-operator  Citrix ADC CPX with Ingress Controller                     alpha
citrix-ingress-controller-operator           Citrix Ingress Controller                                  alpha
cloud-native-postgresql                      EDB Postgres for Kubernetes                                stable-v1.19
cloudbees-ci                                 CloudBees CI                                               alpha
cnfv-operator                                CloudNFV                                                   alpha
conjur-follower-operator                     Conjur Enterprise Follower Operator                        stable
couchbase-enterprise-certified               Couchbase Operator                                         stable
crunchy-postgres-operator                    Crunchy Postgres for Kubernetes                            v5
datadog-operator-certified                   Datadog Operator                                           alpha
dell-csi-operator-certified                  Dell CSI Operator                                          stable
dell-csm-operator-certified                  Dell Container Storage Modules                             stable
dynatrace-operator                           Dynatrace Operator                                         alpha
elasticsearch-eck-operator-certified         Elasticsearch (ECK) Operator                               stable
entando-k8s-operator                         Entando Operator                                           stable
federatorai-certified                        Federator.ai                                               stable
fujitsu-enterprise-operator                  FUJITSU Enterprise Postgres 13 Operator                    stable-13
fujitsu-enterprise-postgres-operator         FUJITSU Enterprise Postgres Operator                       stable
function-mesh                                Function Mesh Operator                                     alpha
gitlab-runner-operator                       GitLab Runner                                              stable
gpu-operator-certified                       NVIDIA GPU Operator                                        v22.9
hazelcast-enterprise-certified               Hazelcast Enterprise Operator                              alpha
hazelcast-platform-operator                  Hazelcast Platform Operator                                alpha
